,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
111,2020-04-21,74728.34059410609,65414.13685583406,70633.31747478146,74728.34059410609,74728.34059410609,-6268.784123034457,-6268.784123034457,-6268.784123034457,-6268.784123034457,-6268.784123034457,-6268.784123034457,0.0,0.0,0.0,68459.55647107164
112,2020-04-22,75755.38533917384,71283.54797401789,76735.8448756392,75755.38533917384,75755.38533917384,-1659.1291157318315,-1659.1291157318315,-1659.1291157318315,-1659.1291157318315,-1659.1291157318315,-1659.1291157318315,0.0,0.0,0.0,74096.256223442
113,2020-04-23,76782.43008424153,75578.10843431312,81023.88074714271,76782.43008424153,76782.43008424153,1995.3927027311122,1995.3927027311122,1995.3927027311122,1995.3927027311122,1995.3927027311122,1995.3927027311122,0.0,0.0,0.0,78777.82278697264
114,2020-04-24,77809.47482930927,78020.68660846203,82995.7733530749,77809.47482930927,77809.47482930927,2776.8088374250206,2776.8088374250206,2776.8088374250206,2776.8088374250206,2776.8088374250206,2776.8088374250206,0.0,0.0,0.0,80586.28366673429
115,2020-04-25,78836.51957437699,81161.92198412295,86275.75196958464,78836.51957437699,78836.51957437699,4688.98146596576,4688.98146596576,4688.98146596576,4688.98146596576,4688.98146596576,4688.98146596576,0.0,0.0,0.0,83525.50104034274
116,2020-04-26,79863.56433809252,80463.43593138267,86191.61253589894,79863.56433809252,79863.56433809252,2834.695147068287,2834.695147068287,2834.695147068287,2834.695147068287,2834.695147068287,2834.695147068287,0.0,0.0,0.0,82698.2594851608
117,2020-04-27,80890.60910180803,74027.60667775881,79170.28988694146,80890.60910180803,80890.60910180803,-4367.964914421415,-4367.964914421415,-4367.964914421415,-4367.964914421415,-4367.964914421415,-4367.964914421415,0.0,0.0,0.0,76522.64418738661
118,2020-04-28,81917.65386552356,72359.3740816166,78435.0374738987,81917.65386552356,81917.65386552356,-6268.784123032721,-6268.784123032721,-6268.784123032721,-6268.784123032721,-6268.784123032721,-6268.784123032721,0.0,0.0,0.0,75648.86974249085
119,2020-04-29,82944.69862923908,79733.64262940252,85415.60779214678,82944.69862923908,82944.69862923908,-1659.1291157273297,-1659.1291157273297,-1659.1291157273297,-1659.1291157273297,-1659.1291157273297,-1659.1291157273297,0.0,0.0,0.0,81285.56951351176
120,2020-04-30,83971.7433929546,83987.11544996385,89710.62142538745,83971.7433929546,83971.7433929546,1995.3927027326945,1995.3927027326945,1995.3927027326945,1995.3927027326945,1995.3927027326945,1995.3927027326945,0.0,0.0,0.0,85967.1360956873
121,2020-05-01,84998.78815667013,84844.6237593682,90442.19361073435,84998.78815667013,84998.78815667013,2776.8088374214326,2776.8088374214326,2776.8088374214326,2776.8088374214326,2776.8088374214326,2776.8088374214326,0.0,0.0,0.0,87775.59699409155
122,2020-05-02,86025.83657172881,88631.00783749322,93944.69966145283,86025.83657172881,86025.83657172881,4688.981465961537,4688.981465961537,4688.981465961537,4688.981465961537,4688.981465961537,4688.981465961537,0.0,0.0,0.0,90714.81803769035
123,2020-05-03,87052.88498678747,86739.38632009886,92008.77048399526,87052.88498678747,87052.88498678747,2834.6951470644135,2834.6951470644135,2834.6951470644135,2834.6951470644135,2834.6951470644135,2834.6951470644135,0.0,0.0,0.0,89887.58013385188
124,2020-05-04,88079.93340184612,80973.22573861174,86529.86456678847,88079.93340184612,88079.93340184612,-4367.96491442619,-4367.96491442619,-4367.96491442619,-4367.96491442619,-4367.96491442619,-4367.96491442619,0.0,0.0,0.0,83711.96848741993
125,2020-05-05,89106.98181690481,79366.06286847091,85026.85912069169,89106.98181690481,89106.98181690481,-6268.784123030851,-6268.784123030851,-6268.784123030851,-6268.784123030851,-6268.784123030851,-6268.784123030851,0.0,0.0,0.0,82838.19769387395
126,2020-05-06,90134.0302319635,85400.7959568564,90729.85187915967,90134.0302319635,90134.0302319635,-1659.1291157236299,-1659.1291157236299,-1659.1291157236299,-1659.1291157236299,-1659.1291157236299,-1659.1291157236299,0.0,0.0,0.0,88474.90111623987
127,2020-05-07,91161.11470626223,90588.34962010071,96372.38950263514,91161.11470626223,91161.11470626223,1995.3927027334876,1995.3927027334876,1995.3927027334876,1995.3927027334876,1995.3927027334876,1995.3927027334876,0.0,0.0,0.0,93156.50740899572
128,2020-05-08,92188.199180561,92650.98391472825,98194.84647572396,92188.199180561,92188.199180561,2776.8088374217177,2776.8088374217177,2776.8088374217177,2776.8088374217177,2776.8088374217177,2776.8088374217177,0.0,0.0,0.0,94965.00801798272
129,2020-05-09,93215.28365485977,94866.83065384075,100152.62331430512,93215.28365485977,93215.28365485977,4688.981465963233,4688.981465963233,4688.981465963233,4688.981465963233,4688.981465963233,4688.981465963233,0.0,0.0,0.0,97904.26512082301
130,2020-05-10,94242.36812915854,94679.7266638618,99608.31096340343,94242.36812915854,94242.36812915854,2834.695147060539,2834.695147060539,2834.695147060539,2834.695147060539,2834.695147060539,2834.695147060539,0.0,0.0,0.0,97077.06327621908
131,2020-05-11,95269.45260345729,88370.08324506186,93073.6849345981,95269.45260345729,95269.45260345729,-4367.964914430441,-4367.964914430441,-4367.964914430441,-4367.964914430441,-4367.964914430441,-4367.964914430441,0.0,0.0,0.0,90901.48768902685
132,2020-05-12,96296.53707775605,87587.1053484869,93177.23356085955,96296.53707775605,96296.53707775605,-6268.784123029117,-6268.784123029117,-6268.784123029117,-6268.784123029117,-6268.784123029117,-6268.784123029117,0.0,0.0,0.0,90027.75295472692
133,2020-05-13,97325.13751336328,92614.83944713295,98252.49172064415,97325.13751336328,97325.13751336328,-1659.1291157416117,-1659.1291157416117,-1659.1291157416117,-1659.1291157416117,-1659.1291157416117,-1659.1291157416117,0.0,0.0,0.0,95666.00839762167
134,2020-05-14,98353.73794897052,97473.89180971065,102793.01644054987,98353.73794897052,98353.73794897052,1995.3927027342806,1995.3927027342806,1995.3927027342806,1995.3927027342806,1995.3927027342806,1995.3927027342806,0.0,0.0,0.0,100349.1306517048
135,2020-05-15,99382.33838457774,98623.83195236078,104679.26090613904,99382.33838457774,99382.33838457774,2776.808837423024,2776.808837423024,2776.808837423024,2776.808837423024,2776.808837423024,2776.808837423024,0.0,0.0,0.0,102159.14722200077
136,2020-05-16,100410.93882018495,102436.84844575543,107769.95886829702,100410.93882018495,100410.93882018495,4688.9814659628255,4688.9814659628255,4688.9814659628255,4688.9814659628255,4688.9814659628255,4688.9814659628255,0.0,0.0,0.0,105099.92028614778
137,2020-05-17,101439.53925579217,102091.93718586575,106930.42958189962,101439.53925579217,101439.53925579217,2834.6951470557906,2834.6951470557906,2834.6951470557906,2834.6951470557906,2834.6951470557906,2834.6951470557906,0.0,0.0,0.0,104274.23440284797
138,2020-05-18,102497.29128318049,94886.52175897206,100118.6301132442,102497.29128318049,102497.29128318049,-4367.9649144101,-4367.9649144101,-4367.9649144101,-4367.9649144101,-4367.9649144101,-4367.9649144101,0.0,0.0,0.0,98129.32636877039
139,2020-05-19,103555.04331056881,94342.35113443312,99623.10758887402,103555.04331056881,103555.04331056881,-6268.784123027382,-6268.784123027382,-6268.784123027382,-6268.784123027382,-6268.784123027382,-6268.784123027382,0.0,0.0,0.0,97286.25918754144
140,2020-05-20,104612.79533795713,99707.48583563148,105184.46518395886,104612.79533795713,104612.79533795713,-1659.1291157375115,-1659.1291157375115,-1659.1291157375115,-1659.1291157375115,-1659.1291157375115,-1659.1291157375115,0.0,0.0,0.0,102953.66622221962
141,2020-05-21,105670.54736534544,104527.01477357539,110043.60771573315,105670.54736534544,105670.54736534544,1995.392702735074,1995.392702735074,1995.392702735074,1995.392702735074,1995.392702735074,1995.392702735074,0.0,0.0,0.0,107665.94006808051
142,2020-05-22,106728.29939273375,107349.73934165007,112571.61613968867,106728.29939273375,106728.29939273375,2776.808837424331,2776.808837424331,2776.808837424331,2776.808837424331,2776.808837424331,2776.808837424331,0.0,0.0,0.0,109505.10823015809
143,2020-05-23,107786.05142012208,110256.57228381225,115382.6237842426,107786.05142012208,107786.05142012208,4688.981465964522,4688.981465964522,4688.981465964522,4688.981465964522,4688.981465964522,4688.981465964522,0.0,0.0,0.0,112475.0328860866
144,2020-05-24,108843.80344751039,108800.07156735359,113724.59331508467,108843.80344751039,108843.80344751039,2834.6951470743493,2834.6951470743493,2834.6951470743493,2834.6951470743493,2834.6951470743493,2834.6951470743493,0.0,0.0,0.0,111678.49859458474
145,2020-05-25,109901.5554748987,102341.51845140525,107771.43669109295,109901.55547489872,109901.55547489872,-4367.964914414352,-4367.964914414352,-4367.964914414352,-4367.964914414352,-4367.964914414352,-4367.964914414352,0.0,0.0,0.0,105533.59056048436
146,2020-05-26,110959.307502287,102224.65764131304,107430.10729904706,110959.307502287,110959.307502287,-6268.784123025578,-6268.784123025578,-6268.784123025578,-6268.784123025578,-6268.784123025578,-6268.784123025578,0.0,0.0,0.0,104690.52337926143
147,2020-05-27,112017.05952967532,107592.7912747895,112854.67639570664,112017.05952967532,112017.05952967532,-1659.1291157334101,-1659.1291157334101,-1659.1291157334101,-1659.1291157334101,-1659.1291157334101,-1659.1291157334101,0.0,0.0,0.0,110357.93041394191
148,2020-05-28,113074.81155706364,112535.67649154665,117881.64141836425,113074.81155706364,113074.81155706364,1995.3927027312984,1995.3927027312984,1995.3927027312984,1995.3927027312984,1995.3927027312984,1995.3927027312984,0.0,0.0,0.0,115070.20425979495
149,2020-05-29,114132.56358445196,114410.69018403001,119934.42198864602,114132.56358445197,114132.56358445197,2776.8088374197214,2776.8088374197214,2776.8088374197214,2776.8088374197214,2776.8088374197214,2776.8088374197214,0.0,0.0,0.0,116909.37242187168
150,2020-05-30,115190.31561184027,116733.99966733137,122009.41862754954,115190.31561184027,115190.31561184027,4688.981465966219,4688.981465966219,4688.981465966219,4688.981465966219,4688.981465966219,4688.981465966219,0.0,0.0,0.0,119879.29707780649
151,2020-05-31,116248.06763922857,116584.0365524524,121813.36678690893,116248.06763922857,116248.06763922857,2834.6951470704744,2834.6951470704744,2834.6951470704744,2834.6951470704744,2834.6951470704744,2834.6951470704744,0.0,0.0,0.0,119082.76278629905
152,2020-06-01,117305.81966661688,111088.97637203935,116018.74920895527,117305.81966661688,117305.81966661688,-4367.964914419126,-4367.964914419126,-4367.964914419126,-4367.964914419126,-4367.964914419126,-4367.964914419126,0.0,0.0,0.0,112937.85475219776
153,2020-06-02,118363.57169400521,109030.28859361185,114475.55121961169,118363.5716940052,118363.5716940052,-6268.784123023776,-6268.784123023776,-6268.784123023776,-6268.784123023776,-6268.784123023776,-6268.784123023776,0.0,0.0,0.0,112094.78757098143
154,2020-06-03,119421.32372139352,114809.37041744962,120023.30887164403,119421.32372139352,119421.32372139352,-1659.12911572971,-1659.12911572971,-1659.12911572971,-1659.12911572971,-1659.12911572971,-1659.12911572971,0.0,0.0,0.0,117762.19460566381
155,2020-06-04,120479.07574878183,120102.9530250245,125370.15733728066,120479.07574878183,120479.07574878183,1995.3927027313025,1995.3927027313025,1995.3927027313025,1995.3927027313025,1995.3927027313025,1995.3927027313025,0.0,0.0,0.0,122474.46845151314
156,2020-06-05,121536.82777617013,120798.72574472107,126400.5982744053,121536.82777617013,121536.82777617013,2776.808837420007,2776.808837420007,2776.808837420007,2776.808837420007,2776.808837420007,2776.808837420007,0.0,0.0,0.0,124313.63661359013
157,2020-06-06,122594.57980355844,124463.06616453404,129916.69570449024,122594.57980355844,122594.57980355844,4688.981465965811,4688.981465965811,4688.981465965811,4688.981465965811,4688.981465965811,4688.981465965811,0.0,0.0,0.0,127283.56126952426
